Record Length,Analog:100000
Sample Interval,CH3:5.000000E-08
Vertical Units, CH3:V
Vertical Scale, CH3:+2.000000E-01
Vertical Offset, CH3:-2.000000E-01
Horizontal Units,s
Horizontal Scale,+5.000000E-04
Model Number,T3DSO2354A
Serial Number,T0101C22190207
Software Version,5.0.1.3.9R12
Source,CH3
Second,Value
+7.9400000000E-03,+4.999995E-03
+7.9400500000E-03,+6.666660E-03
+7.9401000000E-03,+4.999995E-03
+7.9401500000E-03,+4.999995E-03
+7.9402000000E-03,+6.666660E-03
+7.9402500000E-03,+4.999995E-03
+7.9403000000E-03,+3.333330E-03
+7.9403500000E-03,+6.666660E-03
+7.9404000000E-03,+4.999995E-03
+7.9404500000E-03,+3.333330E-03
+7.9405000000E-03,+4.999995E-03
+7.9405500000E-03,+3.333330E-03
+7.9406000000E-03,+6.666660E-03
+7.9406500000E-03,+3.333330E-03
+7.9407000000E-03,+4.999995E-03
+7.9407500000E-03,+3.333330E-03
+7.9408000000E-03,+4.999995E-03
+7.9408500000E-03,+4.999995E-03
+7.9409000000E-03,+3.333330E-03
+7.9409500000E-03,+6.666660E-03
+7.9410000000E-03,+6.666660E-03
+7.9410500000E-03,+3.333330E-03
+7.9411000000E-03,+6.666660E-03
+7.9411500000E-03,+6.666660E-03
+7.9412000000E-03,+3.333330E-03
+7.9412500000E-03,+4.999995E-03
+7.9413000000E-03,+3.333330E-03
+7.9413500000E-03,+6.666660E-03
+7.9414000000E-03,+4.999995E-03
+7.9414500000E-03,+4.999995E-03
+7.9415000000E-03,+6.666660E-03
+7.9415500000E-03,+3.333330E-03
+7.9416000000E-03,+6.666660E-03
+7.9416500000E-03,+6.666660E-03
+7.9417000000E-03,+6.666660E-03
+7.9417500000E-03,+6.666660E-03
+7.9418000000E-03,+6.666660E-03
+7.9418500000E-03,+3.333330E-03
+7.9419000000E-03,+4.999995E-03
+7.9419500000E-03,+6.666660E-03
+7.9420000000E-03,+4.999995E-03
+7.9420500000E-03,+6.666660E-03
+7.9421000000E-03,+6.666660E-03
+7.9421500000E-03,+6.666660E-03
+7.9422000000E-03,+4.999995E-03
+7.9422500000E-03,+4.999995E-03
+7.9423000000E-03,+6.666660E-03
+7.9423500000E-03,+6.666660E-03
+7.9424000000E-03,+6.666660E-03
+7.9424500000E-03,+6.666660E-03
+7.9425000000E-03,+6.666660E-03
+7.9425500000E-03,+4.999995E-03
+7.9426000000E-03,+6.666660E-03
+7.9426500000E-03,+4.999995E-03
+7.9427000000E-03,+6.666660E-03
+7.9427500000E-03,+6.666660E-03
+7.9428000000E-03,+6.666660E-03
+7.9428500000E-03,+6.666660E-03
+7.9429000000E-03,+4.999995E-03
+7.9429500000E-03,+6.666660E-03
+7.9430000000E-03,+6.666660E-03
+7.9430500000E-03,+6.666660E-03
+7.9431000000E-03,+6.666660E-03
+7.9431500000E-03,+6.666660E-03
+7.9432000000E-03,+6.666660E-03
+7.9432500000E-03,+6.666660E-03
+7.9433000000E-03,+6.666660E-03
+7.9433500000E-03,+6.666660E-03
+7.9434000000E-03,+4.999995E-03
+7.9434500000E-03,+6.666660E-03
+7.9435000000E-03,+6.666660E-03
+7.9435500000E-03,+6.666660E-03
+7.9436000000E-03,+6.666660E-03
+7.9436500000E-03,+6.666660E-03
+7.9437000000E-03,+3.333330E-03
+7.9437500000E-03,+3.333330E-03
+7.9438000000E-03,+3.333330E-03
+7.9438500000E-03,+3.333330E-03
+7.9439000000E-03,+4.999995E-03
+7.9439500000E-03,+6.666660E-03
+7.9440000000E-03,+6.666660E-03
+7.9440500000E-03,+4.999995E-03
+7.9441000000E-03,+6.666660E-03
+7.9441500000E-03,+6.666660E-03
+7.9442000000E-03,+6.666660E-03
+7.9442500000E-03,+6.666660E-03
+7.9443000000E-03,+4.999995E-03
+7.9443500000E-03,+3.333330E-03
+7.9444000000E-03,+3.333330E-03
+7.9444500000E-03,+3.333330E-03
+7.9445000000E-03,+3.333330E-03
+7.9445500000E-03,+3.333330E-03
+7.9446000000E-03,+3.333330E-03
+7.9446500000E-03,+3.333330E-03
+7.9447000000E-03,+6.666660E-03
+7.9447500000E-03,+3.333330E-03
+7.9448000000E-03,+6.666660E-03
+7.9448500000E-03,+6.666660E-03
+7.9449000000E-03,+6.666660E-03
+7.9449500000E-03,+3.333330E-03
+7.9450000000E-03,+4.999995E-03
+7.9450500000E-03,+6.666660E-03
+7.9451000000E-03,+6.666660E-03
+7.9451500000E-03,+4.999995E-03
+7.9452000000E-03,+3.333330E-03
+7.9452500000E-03,+6.666660E-03
+7.9453000000E-03,+6.666660E-03
+7.9453500000E-03,+3.333330E-03
+7.9454000000E-03,+6.666660E-03
+7.9454500000E-03,+4.999995E-03
+7.9455000000E-03,+3.333330E-03
+7.9455500000E-03,+3.333330E-03
+7.9456000000E-03,+6.666660E-03
+7.9456500000E-03,+3.333330E-03
+7.9457000000E-03,+4.999995E-03
+7.9457500000E-03,+3.333330E-03
+7.9458000000E-03,+3.333330E-03
+7.9458500000E-03,+3.333330E-03
+7.9459000000E-03,+6.666660E-03
+7.9459500000E-03,+4.999995E-03
+7.9460000000E-03,+4.999995E-03
+7.9460500000E-03,+3.333330E-03
+7.9461000000E-03,+4.999995E-03
+7.9461500000E-03,+3.333330E-03
